spotify_id,spotify_name,spotify_popularity
5ACZOGjT6I5He0pDZED56Z,Wannabe,61
3zGpHUsSZ0xLRdDlbWbv5G,All This Time,52
0gLPbKWrfFTifO5m90P8DE,Escríbeme,53
4aA39M2dMcegHXYQ4Kq5MP,Como Tu,54
1OzgMzlWVXehzHaC9Ps6Nb,Look At That,40
2sTuKKRZI1ciK5tflR00YE,GOMBAO 33,65
6IitkM7xiuKhDXzshXUnRa,เลือกคนที่เขารักเรา,53
5O9gEBsy19gFfMDZzvcr2N,Deméter,54
5ROchU8ANsBfStFVsTB3r2,Our Souls at Night,50
2FT9WmWskvuRt735aMy0mL,Moral of the Story,52
1x60WPvUlRvUZFMaMMDGQi,MAD DOG,50
7pR1IL7pbSmrKqfotG6myv,Do It For You,32
2KSwFkeMHucdwgMtdzI2ns,Nicknames (feat. gnash),46
7LvyCItkVB6Bx8pPuzSRZA,Beautiful Faces,44
2eibpPa0zEyFb7SR4edlYp,Pandora's Box,45
00emjlCv9azBN0fzuuyLqy,Dumb Litty,57
2zQeAeH3q0K7U2AWEcVOsF,"Nachan Nu Jee Karda (From ""Angrezi Medium"")",56
4tmyQGiQ8SjfrLXyjFrAoL,Stuck On You,57
2HrzH60nFePfGF5RqFK5YW,Like You,49
2kqW52yqm8w379JarE7rhl,The Season of Us,50
4IZHFWBdQwdu8PLBfobkUF,"Do You Love Me (From ""Baaghi 3"")",55
4YIhJmihoXwjtbY4vsV9Nh,"Kudi Nu Nachne De (From ""Angrezi Medium"")",58
7JSaztudhBzfGiudI1QMJl,NOBODY LIKE YOU,54
1Kjw0LwdniCWran4PxJqPQ,Kerosene!,59
7gXVlNVDu3Qmf0Sy63GqA1,Fade Away,45
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,66
1t4wa5r7E7oZ2D4G07JFsI,The Best,57
5LcmWnjDaVWPUlLWdoaHxx,C-Side,58
4I4x08U64sl0BQvOYI8TYM,パーティーを止めないで,49
5xWpxI216rbOSiAqjdn6gy,"Lamborghini (From ""Jai Mummy Di"")",57
0p7oSAo7L1nPXxtGMH3BzW,Cellular,46
1QCVN7PEJ0dMiIDOG6ZJUf,Tokyo (feat. XIRA),57
6m6PTfVXdPZT6scb1TaONP,Go away go away,56
6ro2Oa7i6jfMMTETNla1Ha,Resolution,55
0p4qs6tfooPrR4SUyaXK1o,Book of Revelations,48
1cwHRnup3iQoGAzUDwXQsh,You Make Me Back,51
1V2EtfWFyxPOrRE011r8PR,przejmujemy jutuby,51
6r0WuK50Lpu9u460x84oBn,God of Revival - Live,61
4sCFRSTuUwvxHhXOLKbuvL,Pero No,47
3YykTavXvEYywYJFZIngbT,Told You So,52
0r1a5rNJgHNAJyyctK34gr,Va tutto bene,52
5utdbEzP9dUyrEaayHfVM5,To Be Alone,54
0WPOxxoEVoglAvhqroDpQA,Where You Belong,59
4XKCLNyCTvtdkLu5O1mzTU,AYAYAYA,56
7JxGvCpgu60COzVsmavYv9,With Us,47
2CRHhpa7R4ADEHseme3BfJ,Keep It Rollin Pt. 2,43
4SlkCNvosh6H75Cx46Y4K0,Falling,51
0GZfZOUpFBfArX6F50LXyf,Żółte flamastry i grube katechetki,58
6uUtmCz8XXep7n1QmC1jJG,snow jam,71
3I8CEUQgFMuGu1UkGrtSTk,Lo Que Es,59
7AJ2rEaM0kYulj33j7xemp,GRAVITY,46
5Hcbv1yvGiIADNQvi84LLQ,One True Love (with Slushii),35
1rCPg5GOtes0FIo1BzgvUi,A Trick of the Light,60
46LX0sSwIU4GFLcj23ZfMA,Gospel For A New Century,60
0YnbUCbW8viWWikWXoVzB1,WAKING UP DOWN,53
7rWUy2a3j1QmvkcQfI3tPY,Gummy,55
54xv1MnxP9aZIAqkvh7z81,Halfway Dead,46
0jREQOZ2lxTNdWzLujpT0i,peacefall,45
1sntdOU6b9fMuUOm3NPIuY,Feel It,65
5ql94CS36c6PM7KXTeSqTh,stardew,52
2dh4Ff65vPJmRkc4Xw2K4w,Black Qualls - Single Version,46
74qF0JeFMVilMEeFDiQZ48,"Mummy Nu Pasand (From ""Jai Mummy Di"")",57
6Gn7Tpem8ydQpS5aIZWV57,Mata Montana,53
4wmrFwPfSRYzC2buKIqal3,Dreams Come True,44
3tI114qzJyZYctfLPonBeG,Time Bomb,54
0WI8wjsavAYZqIszjfb0Ne,Kita Pernah Ada,39
2lBEWXP11gpEySIXgA5ALH,Fire,57
4A63LckcnvT7abzQxjDqIJ,"Alone, Omen 3",45
4dPimg8olUWKxHZXPD3KOO,Hold On,56
01AE1MgL6L86WQzh4KGDUa,"Kinna Sona (From ""Marjaavaan"")",57
01xdiGuSuIf5qZulm1uqkY,Feel It!,62
5KHxklN5oweX9swnnLY0fV,ONE&ONLY,50
4MCko2lInqpb0hKRZxRdGz,Bottom of The Top,51
08gHuPeFkw5nHo9xqUJHQe,VIAIPI,51
68UU9oaQtMDnh6PRlW842H,I Like Him,71
22QkHm06v6OrxJvgisEEw2,My Life,46
5iReOl0OJPQjSIIndoYDMd,The Best (feat. Alice Merton),51
7swBBMpW5XH6M3NTklhvUX,No Words,47
4ARB472dmYjpCdWrhE1aMc,หมอก,38
2WIUbg8CiAsKuQMw9DzZ1d,School,44
2z0LVG9G2SpFaT5bHyWwjK,Dr. BeBe,53
48LCnGeww8DfeXVc5V3tAR,Cinderella,55
2i4ADE3WMDarWDsQNiTqWH,Trust,51
39MLDWZpv88xmOkjsXkbEW,Gehenna,47
2S8gP8YPJbDEsorMjaIxCh,Gallardo,50
6KxACudfT4vVXnDUkjU6lN,Hands Up,53
1GIofMbTz83fXqNrEuf4bA,hot girl bummer,67
1gb1bIRb1iNuJRnZB2XxS5,Walk On Water,54
0w27Ok6tBj1QBNqs4eT19b,우린 친구뿐일까,47
3tMfBtSaNt1jPIi3S0zZtY,C'est la Vie,54
5a9dYwDofp60W3MgFiA59y,Adicto,35
0Tw60ETiprzweU3AYHuTdq,Lowlife,55
0neyT03gRO594nO7ABmrkY,Youth,37
5zEx8v8GJKoTx55zGeq8me,"Dua Karo (From ""Street Dancer 3D"")",51
2wlJujDcmEpJ4egO6Sx56w,Can't Let Go (feat. Harry Hudson),62
1uZIL52W5zXEF55fCh5lqP,Rearrange Us,60
3r6KxmHRT2XzvGqwKzCMHV,Year Of Summer,24
0GjrDxWajRwfL7EAmjeeLC,The Rain,48
0sEJmxTlb2SZNxdjzBATPK,Can’t Do Much,51
1igJHtyHQgLBwmF1kx8Fci,Co Cię trapi,41
65ev2pHcMjl695wjiUY21r,2 In A Million,37
07rPu6yA34i2EcqDV4y2RL,Like I Loved You,44
0kA1eiBk1ZZumtKnSXWAR5,Stay,41
6frfO4L5E865D91DkgDfIp,Blue Skies,37
7Dvd624sLCoEdsoOkSxcwJ,Hiver,36
2voFKqtNePhp9S5nZUg192,Nog Even Niet,51
07H4GUtSu2IWIgrpC99zJf,Eclipse,54
63rAI9RSoPiGXWG9Tu47I2,Inside Out (Radio Edit),50
3MRWIuuhlyA4ClGIFWhP1m,WE COME FROM NAPOLI,48
0VgTi18CjUoI1frSMsNXWT,Speaking of the End,57
2gqzTQEn4g5ly0n5ScdMx0,Love You Forever,51
1wke1jDaX6FzTcEiNuRIQz,Dumebi - Major Lazer Remix,42
67IB9ZfmbFmo7S4Y1Ve2ti,Face Of A Champion,49
56yaOnoHKmkhvzGXmv4SJ7,Eigenlijk Wel,44
3YnoPdlEqOnxvpkjlpvi7M,Menak Wla Meni,48
0XmQabmXUU4ubnZj8b2qX4,Co ja wiem?,55
5wXWGcJmmNGdV2EzXkbfQD,Mother May I (Tic Toc),51
0fqnYcscwLogOLrPdlPEuC,Queen,36
5IscO23li4Q7mtpTAVQZ0L,Pilot,53
6Gv81zkIe98Li3vFrRCdKl,Commando (Remix),56
5KetxZEUYWs1EKFQFO6Egq,Diamentowe Serca,43
5m411qSXF2OsxZe8KcnqIs,Menghapus Jejakmu,62
00EFWaqXnHZ5smJNsHtnGV,What’s Done Is Done,49
3oQYe7FdyIzyQXZtoO0TPc,Flowers On A Grave,55
2rWeNybwVZTWEbkb9JOjcz,"People, I've been sad",62
6wGz4Du4NV1ssgAUWllOvT,Czarne bluzy,46
2ZFF5mPxK4vhrJo7U05Tgu,Escápate Conmigo,49
7reUJYGI0BIhdzjgJKZ9S0,Stronger,51
4xmRpeisH3H2fgOTdzLi0I,Highx,51
3xL2zWuSe639N50iNP6LPM,Corona Virus,34
3cGOBTvkKS4aCsWRR2VPke,DAZZLE DAZZLE,50
5PYwENRSNMq2fe2dL8RHjn,I'm Here,51
0snhTvHSZ5ACrvdcVWeCDS,Erase Me,53
1cpYNtagqx5kFzzVO5PtHQ,Can't Cool Me Down,18
5RI9wEgkBakHOmgNiX6R7s,I Can't Breathe,50
6oQV4xYifCFSWvT7a8l6we,Rely,57
1rIoZ8H3v3InBt8YbMBapx,The Rope,59
4DMoP99RLqEpkrscJGO0kL,You're Not Alone,54
2IiTy93oA78tCTMnwCldgS,Voices,55
1gaFzwbmybYUZCnX1qTNRw,Холодок,59
1Dvqeu0U8P5tuPSIraHlQI,(Don't Let The Dragon) Draag On,43
5Hvr3JCRoAIKXDnXyg02OU,YOU MAKE ME,50
14TxLhdCi8gfO49n7RT2W6,24HRS,51
427ztPo5YDc2TgebnaFtgW,I DON’T WANNA DANCE,50
3VFYyV794uhbLZ6Lz4hVrG,Opening Statements,40
2oxGrrz61idwlMRTzvdpZQ,AMEN,52
14tNUeer5gUbUYvhYYTclS,REVEAL,61
1FkB5dAzBqB3wHFtMpbHfZ,Popcorn - GATTÜSO Remix,39
69Akwuscu16hdYN637eTis,Lilacs,55
55Za7bZ9ukyFsnA2I7cR0b,Sparkle,48
73cik4xfvTaCcUu2wPV47I,Love,50
3zQwSlwBo075R2kqRavZmu,Nero,52
2bwhBn3W0xFftyRu6mBdDZ,Lord Send Revival - Live,53
4e9syCNZ8IxWiYd8q8WFos,Ni Mis Padres Saben Que Rollo,35
0uA5JjTrPrJfFXHpwJRlJ2,RSO,37
1cAHUJamv5v0cCMLEbc0yr,eMcimbini - Live,42
2fU3Sszh7UEYsNGoJyt9aw,Alma - Frameworks Remix,39
7ljR7wW9p56yqxsZRg76Qr,Persona Non Grata,48
7BhvOAA8kaGhd2dsa27XP8,Amadeo (Still My God),53
4xXglb2SBiHnqPMQiItlrG,Let Loose,54
45Bfnqhwy4dtqTYmClzEWM,"Dilbara (B Praak Version) [From ""Pati Patni Aur Woh""]",50
3zi577X0DUUbQKUcLuTHNb,Raveolution,47
5qX42TWowTJFtX2cWFW7uw,Coffee,46
5ruWr0aK2jrTmce9zbrPeg,L'absinthe brûle,36
2A1fFjEvDUd72XRMCMCCmf,STAYIN' ALIVE,51
0OMFMPdrmtzKGrzlsfJpsS,¿De Qué Me Sirve el Cielo?,54
0epWzoHL7bQh4ER3OWwrEe,North Wing,58
3UwKfXx1SdJSxnzG2gYkgc,On My Way Home,58
6kx6GDwi4aai3JY9xNeFAy,センス・オブ・ワンダー,52
4Zwo8D1koSzLJCYd5NlX81,Outer Sunset,46
09SDLliVqtzzb6Mnov4WhV,Avemariah,43
0l9XhUIYk2EjT6MHdh4wJU,Piszę to na matmie,56
5WHldZsdqAeLx9heJ5cIQH,ติดกับ - เพลงประกอบซีรีส์ เพราะเราคู่กัน,51
5tsaIE9YwWkgnSzKbAkcr5,Diamantes,48
5ZJznweFVYVA803Tq1RldG,Scar Tissue,49
4bjfCjLU7FnyaqbB7FPLs9,NO LIE,53
45qDmqcP1NtX8LpTKcqGZ0,Nicotine,46
0bZoCs8KZzPC3TSXsyiZN3,Etapas raras,53
2x4oVemOaqo5VFDNz3J8iw,Solamente Dios,40
2RNSfPATZyTxLUiR2U1COp,Fly,49
3XbeoYWmIK8Ss2WkYJnyiF,Fucked Myself Up,39
1OXdIQdzKQaEemVd1Ya7tU,Teman Sampai Surga (Ost #TemanTapiMenikah2),45
50EjA82rXm53BDaIjrlz80,Piekło jest w nas,48
5i0Okd7ctP2yCq2fHERUMw,Kali - Outsiders Remix,55
5iPMwRmMOyLe09VC4Uxkwc,Get Out,48
5w2CUEtQ5hk9poJcaDk9HT,Hayalet,49
70jcTHQYw5XkRaVSykOhP0,La sacoche,40
5OJ8xvo72rkNfvsLWGswGb,Paradise,42
5Z6hPYs0yG1lZrQ2SbD4bM,I disappear in your arms,48
5IiBFYMJEvFznr2IZvOgwg,This Is War,51
6i5uTdapTTQ5ivwq2eLC5k,Down For You,59
0APUKgUaBUZwfRssuyhXil,Your Love Song,41
2IQ0FNZMiJQbga6fQlFvJ7,break,20
1kmU38ncUG3lxJoouLUM01,Aozora,23
3Hvnpz8CLMiKZbBsqUcuBM,Koło fortuny,44
2eBeVXJUVdcYLvExwrXAeW,HAUTE COUTURE,42
1pjXUZFaDSgf9wV1X76aXw,Kokoroyohou,60
6Lnv2nfypWe9fF0aBqG3UI,"Nachi Nachi (From ""Street Dancer 3D"")",47
3IOvs8528ie9laMQO4PLPD,I See,38
3p96tiJXi50sceDPSQiR22,Hier,42
1MEJ1Lj7X9UUEs0yW4JEoA,No.7,58
29Z6NPOYxofKpoDt4bVOrs,Crash Into Me,53
2ehQ2UuXplkqly0XBBAPud,Deep In Love,61
0wA9uHq1tcXJ7PlfJMrrT6,Lover,51
4zsKKiY3MCWDWu5DHP0mPq,Paredes de Hielo,43
6ttrFq4adJwxBaWUz2H7EC,Paper Cup - Edit,37
3J7563ODMi3wYq56KsZfxQ,Sweet Dreams - Pretty Pink Remix,45
4Q5x4qPGCwZaqKjXBvlzZu,Jij En Ik Tegen De Wereld,39
0KA5Hg6c1vEiulQ1f2LICV,AS ONE,33
4XQoTwjHncweGETKnty5B5,Beaten Down,39
3hm6xr8JIYulazQxRuhUOH,Empire,49
2qFZjcCI3vuBX83IuluS2w,DESTINY,44
6YheRoPUnQc0mXiWBUiQz5,Cut Me,54
1jk6tbx0xFuEq1eHGTDMv3,Stoned Again,46
2fyLITHvcvuvb4Y4oxk1ab,OMG,46
5r47m8Td4m1CCzCHiKDBEd,Count On Me,54
202V0pybvXSG2siJDAIWqf,Maldad - R3HAB Remix,41
24d3IPklAxzBJB2nuWeSpg,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",53
7l5Z2grGc47Hs84Zm7XobV,Started Out,53
5lwWpQ71GKN3sWmk8zZr9g,Red Sun,55
1gibxiYQ2bDcnbYga7qXY7,You Got This,52
